"Semaine","diet: (France)"
2022-01-02,100
2022-01-09,86
2022-01-16,75
2022-01-23,84
2022-01-30,72
2022-02-06,74
2022-02-13,72
2022-02-20,74
2022-02-27,83
2022-03-06,93
2022-03-13,78
2022-03-20,81
2022-03-27,76
2022-04-03,71
2022-04-10,80
2022-04-17,82
2022-04-24,75
2022-05-01,88
2022-05-08,84
2022-05-15,89
2022-05-22,72
2022-05-29,74
2022-06-05,75
2022-06-12,78
2022-06-19,73
2022-06-26,65
2022-07-03,68
2022-07-10,81
2022-07-17,78
2022-07-24,73
2022-07-31,68
2022-08-07,72
2022-08-14,76
2022-08-21,77
2022-08-28,71
2022-09-04,66
2022-09-11,58
2022-09-18,70
2022-09-25,68
2022-10-02,67
2022-10-09,69
2022-10-16,66
2022-10-23,56
2022-10-30,63
2022-11-06,75
2022-11-13,54
2022-11-20,60
2022-11-27,60
2022-12-04,52
2022-12-11,55
2022-12-18,39
2022-12-25,61
